Dr.Abuihlail, J. Y.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/abuhlail.JPG
Dr.Ahmad, I.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/drizhar.JPG
Dr.Alassar, R. S.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/alassar.JPG
Dr.Alfuraidan, M. R.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/monther.JPG
Dr.Bokhari, A. H.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/abokhari.JPG
Dr.Echi, O. E.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/echi.JPG
Dr.Furati, K. M.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/kmfurati.JPG
Dr.Al-Homidan, S.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/homidan.JPG
Dr.Kabbaj, S.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/kabbaj.JPG
Dr.Khan, A. R.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/arahim.JPG
Dr.Laradji, A.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/alaradji.JPG
Dr.Mimouni, A.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/amimouni.JPG
Dr.Mustapha, K. A.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/kassem.JPG
Dr.Riaz, M.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/riazm.JPG
Dr.Tatar, N. M.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/tatarn.JPG
Dr.Abbas, N.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/nasirabbas.JPG
Dr.Abu-Sbeih, M. I.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/abusbeih.JPG
Dr.Ait Haddou, R.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/rachidaithaddou.JPG
Dr.Alshahrani, M. M.,https://mathfiles.kfupm.edu.sa/data/files/mathonly/PHOTOS/mshahrani.JPG
