Al-Athel S. Khaled,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/39/output-onlinejpgtools%20(29).jpg
"Al-Qutub, Amro M.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/3/output-onlinejpgtools%20(11).jpg
"Al-Sarkhi, Abdelsalam",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/4/output-onlinejpgtools%20(12).jpg
Al-Sulaiman Fahad,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/20/output-onlinejpgtools%20(13).jpg
"Antar, Mohammed A.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/5/output-onlinejpgtools%20(7).jpg
"Hawwa, Muhammad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/36/output-onlinejpgtools%20(15).jpg
"Khalifa, Atia E.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/21/Professor%20Atia%20Khalifa.jpg
LUAI M. ALHEMS,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/16/output-onlinejpgtools%20(16).jpg
"Mekid, Samir",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/31/output-onlinejpgtools%20(17).jpg
"Merah, Neçar",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/32/output-onlinejpgtools%20(18).jpg
"Mokheimer, Esmail​",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/14/output-onlinejpgtools%20(19).jpg
"Nouari, Saheb",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/58/output-onlinejpgtools%20(20).jpg
"Said, Syed A. M.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/11/output-onlinejpgtools%20(21).jpg
"Shuja, Shahzada Z.​   ",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/15/output-onlinejpgtools%20(22).jpg
"Habib, Mohamed A.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/9/output-onlinejpgtools%20(8).jpg
"Sahin, Ahmet Z.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/10/output-onlinejpgtools%20(23).jpg
"Yilbas, Bekir S.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/12/output-onlinejpgtools%20(24).jpg
"Zubair, Syed M.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/13/output-onlinejpgtools%20(25).jpg
Abdul Samad Mohammad,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/60/output-onlinejpgtools%20(26).jpg
Ahmed Aly Diaa Sarhan,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/55/output-onlinejpgtools%20(27).jpg
