"Alfarraj, Motaz","http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/81/People_Alfarraj,%20Motaz.jpg"
"Al-Gahtani, Muhammad A. ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/42/People_Dr_Al-Gahtani.png
"Algarni,Abdullah M.   ",http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
"Alhassoun, Mohammad S",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/82/People_Dr.Alhassoun.png
"AL-Ismail, Fahad Saleh",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/71/Faculty_Fahd%20Saleh%20Al-Ismail.jpeg
"AlMuhaini, Mohammad  ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/49/Faculty_Dr.Muhaini.jpg
"Al-Suwailem, Umar  ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/44/People_Dr_Suwailem.png
"Balghonaim, Adil   ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/40/People_Dr_Balghonaim.png
"Chokri, Belhadj A. ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/41/People_Dr_Chokri.png
"ElSawy, Hesham",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/74/People_Dr.Hesam%20ElSawy.jpg
"Hussein, Alaa El-Din ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/43/People_Dr_Alaa.png
"Masood ,Mudassir  ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/57/Faculty_Dr.Mudassir.png
"Nasir,Ali Arshad   ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/56/Faculty_Dr.Ali_Rashid.png
"Prieto Rojas, Jhonathan ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/53/Faculty_Dr.Jonathan.jpg
"Mohamed ,Abubakar Salem",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/58/Abubakr%20Mohamed%20Salem.jpg
"ABattal,Abdullah Fasal",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/68/Faculty_AbdullahFaisalAl-Batal.png
"Al-Ohali, Rakan ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/63/People_Rakan.png
"Al-Qahtani, Khaled ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/65/People_Khaled_AlQahtani.png
"Al-Saihati, Ibrahim ",http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
"Ammar , Mohammed Ali Muqbel",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/79/Faculty_Mr.Ammar.jpg
"Johar, Umar M.  ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/61/People_Umar%20Johar.jpg
Mohamed Atta Abdulgalil,http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/76/people_Faculty%20_Mr.Atta.jpg
"Nuruzzaman, Mohammad  ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/62/People_Nuruzzaman.png
"Pasha , Jahangir",http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
"Shafi, Ahmar",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/60/People_Ahmer%20Shafi.jpg
"Shah, Abdullah Laiq ",http://www.kfupm.edu.sa/departments/ee/Lists/Faculties/Attachments/83/People_Abdullah_Shah.jpg
